golden_id,conversation_id,original_prompt,module,environment,dataset_source,judge_category,golden_readiness,status,scenario_type,portability_action,date_added,date_promoted,confidence,score,goal_achievement,resolution,tool_use_quality,turns,canonical_file,source_file,expected_outcome,reasoning,notes
none-32cce776-dark-mode,32cce776-ceb8-4689-a7fe-5b52d379502a,dark mode ?,none,prod2,prod-conversation.goldens.jsonl,bad,ready,in_goldens,read_only,scope_normalized,2026-07-27,2026-07-27,1.0,0.275,0.0,0.5,0.5,3,33-prod2-none-32cce776.conversation.json,33-prod2-none-32cce776.md,The assistant completes the request: dark mode ?,"The user's goal was to enable dark mode in Harness. The agent initially provided incorrect instructions, suggesting that dark mode could be enabled via Account Settings or User Profile. After the user indicated these options were unavailable, the agent finally acknowledged that Harness does not have a built-in dark mode and suggested workarounds. The agent's initial responses were misleading, and the correct information was only provided after multiple user corrections, resulting in a failure to satisfy the user's request effectively.",Already present in prod-conversation.goldens.jsonl
idp-5aacc4ad-https-backstage-io-docs-features-kuberne,5aacc4ad-0b79-4d0f-a2b1-f75ba3c3fd87,"https://backstage.io/docs/features/kubernetes/configuration/#surfacing-your-kubernetes-components-as-part-of-an-entity
Adding the entity annotation
In order for Backstage to detect that an entity has Kubernetes components, the following annotation should be added to the entity's catalog-info.yaml:
  'backstage.io/kubernetes-id': dice-roller


What is dice-roller in this example? I'm not sure what my kubernetes-id would be",idp,prod1,prod-conversation.goldens.jsonl,good,ready,in_goldens,read_only,scope_normalized,2026-07-27,2026-07-27,1.0,1.0,1.0,1.0,1.0,1,71-prod1-idp-5aacc4ad.conversation.json,71-prod1-idp-5aacc4ad.md,The assistant completes the request: https://backstage.io/docs/features/kubernetes/configuration/#surfacing-your-kubernetes-components-as-part-of-an-entity Adding the entity annotation In order for Backstage to detect that an entity has ,"The user asked for clarification on what 'dice-roller' represents in a Kubernetes context. The agent provided a clear explanation that 'dice-roller' is a name used to identify a workload in Kubernetes, typically matching a Deployment, Service, or Pod label selector. The agent also offered guidance on how to determine the user's own 'kubernetes-id' by checking Kubernetes manifests or using a kubectl command. This response directly addresses the user's question and provides actionable steps, achieving the user's goal effectively.",Already present in prod-conversation.goldens.jsonl
none-08e3a2f2-map-azure-devops-steps-to-harness-ci-ste,08e3a2f2-5654-4fc3-ac5b-abf60780157d,"Map Azure DevOps steps to Harness CI steps.

ADO task → Harness: SnykSecurityScan→Snyk, SonarQubePrepare→Sonarqube, SonarQubeAnalyze→Sonarqube, SonarQubePublish→Sonarqube, Checkmarx→Checkmarx, CheckmarxScan→Checkmarx, WhiteSourceBolt→Mend, MendBolt→Mend, FortifySCA→FortifyOnDemand, FortifyOnDemand→FortifyOnDemand, VeracodeTask→Veracode, VeracodePipelineScan→Veracode, AquaSecurityScan→AquaTrivy, PrismaCloudCompute→PrismaCloud, TwistlockTask→PrismaCloud, OWASPDependencyCheck→Owasp, DependencyCheckInstaller→Owasp, NexusIqTask→NexusIq, Gitleaks→Gitleaks, SecretScan→Gitleaks, Docker→BuildAndPushDockerRegistry, Cache→RestoreCache, ArtifactoryUpload→ArtifactoryUpload, S3Upload→S3Upload

Default: use ""Run"" for scripts (Bash@*, PowerShell@*, Gradle@*, Maven@*, etc.)

Output JSON array, one per input step:
[{""source_step_name"":""<name>"",""recommended_step_type"":""<Run|Snyk|Sonarqube|etc>"",""confidence"":""high|medium|low"",""conversion_quality"":""exact|partial|unsupported"",""reason"":""<short>"",""schema_fields_to_check"":[],""warnings"":[]}]

MUST return one recommendation per input step. No markdown.

Steps: [{""name"":""Docker build"",""intent"":""script""},{""name"":""PublishBuildArtifacts@1"",""intent"":""task:PublishBuildArtifacts@1""}]

Return JSON array with one recommendation per step.

{
  ""is_v2"": false
}",none,prod1,prod-conversation.goldens.jsonl,good,ready,in_goldens,read_only,scope_normalized,2026-07-27,2026-07-27,1.0,1.0,1.0,1.0,1.0,1,08-prod1-none-08e3a2f2.conversation.json,08-prod1-none-08e3a2f2.md,"The assistant completes the request: Map Azure DevOps steps to Harness CI steps. ADO task → Harness: SnykSecurityScan→Snyk, SonarQubePrepare→Sonarqube, SonarQubeAnalyze→Sonarqube, SonarQubePublish→Sonarqube, Checkmarx→Checkmarx, Checkmar","The agent successfully mapped the Azure DevOps steps to Harness CI steps as requested by the user. It provided a JSON array with recommendations for each input step, including the recommended step type, confidence level, conversion quality, and reasoning. The response was complete and aligned with the user's request.",Already present in prod-conversation.goldens.jsonl
iacm-153be866-fix-a-terraform-for-each-error-in-a-harn,153be866-4315-4c91-a0f4-64d50284dd46,"In Terraform, this dynamic block fails because lookup() in a conditional is not boolean:

for_each = lookup(each.value, ""notification_email"", null) ? [1] : []

What should the for_each expression be instead?",iacm,prod2,prod-conversation.goldens.jsonl,good,ready,in_goldens,read_only,override,2026-07-27,2026-07-27,1.0,1.0,1.0,1.0,1.0,1,14-prod2-iacm-153be866.conversation.json,14-prod2-iacm-153be866.md,"The assistant explains that lookup() returns the value not a boolean, and provides the corrected for_each expression using `!= null` (e.g. `lookup(each.value, ""notification_email"", null) != null ? [1] : []`).","The user's goal was to correct a Terraform code error related to the `for_each` expression. The agent correctly identified the issue with the use of `lookup()` and provided a valid solution by suggesting the use of `!= null` to ensure a boolean result. The solution directly addresses the user's problem and is applicable in a generic context, making it portable.",Already present in prod-conversation.goldens.jsonl
ci-ef8c8c55-whats-the-differnce-between-builds-and-p,ef8c8c55-b8c5-4921-8350-727a2d3bcf35,Whats the differnce between builds and pipelines?,ci,prod3,prod-conversation.goldens.jsonl,good,ready,in_goldens,read_only,scope_normalized,2026-07-27,2026-07-27,0.9,0.9,1.0,1.0,0.5,3,188-prod3-ci-ef8c8c55.conversation.json,188-prod3-ci-ef8c8c55.md,The assistant completes the request: Whats the differnce between builds and pipelines?,"The user asked about the difference between builds and pipelines, and the agent provided a clear explanation. The user then asked about the difference between Build Failure Rate and Pipeline Success Rate, and the agent again provided a detailed and accurate response. Finally, the user asked if Pipeline Success Rate is the same as Build Success Rate, and the agent clarified the differences effectively. The agent's responses were accurate and addressed the user's questions fully, achieving the user's goals. However, the tool use was not directly relevant to the final answers provided, as the agent's explanations did not rely on the tool outputs.",Already present in prod-conversation.goldens.jsonl
ce-891a881c-let-s-create-a-perspective,891a881c-4035-4cce-a6a2-0c141e1a39a3,Let's create a Perspective,ce,prod2,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,4,105-prod2-ce-891a881c.conversation.json,105-prod2-ce-891a881c.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Perspective, and the agent initiated the process by loading the appropriate skill and asking a relevant question about the focus of the Perspective. However, the conversation ends without a user response or further progress, leaving the outcome unclear. The agent's actions were appropriate up to the point of the conversation's end, but without further interaction, it's impossible to determine if the task would have been completed successfully.",Pending promotion into prod-conversation.goldens.jsonl
iacm-89722fa8-what-is-a-delegate,89722fa8-8fef-4b05-b3d9-1bb741ace617,what is a delegate?,iacm,prod2,module-coverage-200,good,ready,candidate,read_only,pending_review,2026-07-27,,1.0,1.0,1.0,1.0,1.0,21,106-prod2-iacm-89722fa8.conversation.json,106-prod2-iacm-89722fa8.md,TBD — write expected_outcome when promoting this candidate,"The conversation effectively addresses the user's queries about Harness delegates, runners, and related infrastructure concepts. The agent provides detailed explanations and comparisons, ensuring the user understands the differences and functionalities of delegates and runners, as well as how plugins and containers operate within Harness. The agent also clarifies the process of node creation, which is outside Harness's direct capabilities, and provides guidance on how to manage nodes in different environments. The responses are accurate, comprehensive, and directly address the user's questions, demonstrating good tool use and reasoning.",Pending promotion into prod-conversation.goldens.jsonl
ce-135fce01-let-s-create-a-cost-category,135fce01-e8fc-470e-8764-81401f03f4be,Let's create a Cost Category,ce,prod1,module-coverage-200,bad,ready,candidate,write,pending_review,2026-07-27,,0.9,0.1,0.0,0.0,0.5,4,11-prod1-ce-135fce01.conversation.json,11-prod1-ce-135fce01.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Cost Category. The agent attempted to assist by loading the relevant skill and asking a question to gather necessary information. However, the conversation ended without receiving a response from the user or completing the task. The agent did not handle the task successfully, as the process was not completed. The conversation is portable as it involves a generic task of creating a cost category, which can be adapted to different environments without specific dependencies.",Pending promotion into prod-conversation.goldens.jsonl
ce-d7931e03-let-s-create-a-cost-category,d7931e03-e474-453e-8663-9bf23fdb9414,Let's create a Cost Category,ce,prod2,module-coverage-200,bad,ready,candidate,write,pending_review,2026-07-27,,0.9,0.1,0.0,0.0,0.5,3,165-prod2-ce-d7931e03.conversation.json,165-prod2-ce-d7931e03.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Cost Category. The agent initiated a tool call to launch a skill related to cost categories, which is appropriate. However, the subsequent tool call to ask the user a question did not receive a response, leaving the task incomplete. The agent failed to progress beyond asking the initial question, resulting in a failure to achieve the user's goal.",Pending promotion into prod-conversation.goldens.jsonl
ce-e57692b6-let-s-create-a-perspective,e57692b6-bfb2-48d8-b23e-0fa61afff0ec,Let's create a Perspective,ce,prod2,module-coverage-200,bad,ready,candidate,write,pending_review,2026-07-27,,0.9,0.1,0.0,0.0,0.5,4,180-prod2-ce-e57692b6.conversation.json,180-prod2-ce-e57692b6.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Perspective. The agent provided detailed information about the process but did not proceed to create the Perspective or gather necessary details from the user to do so. The agent attempted to ask the user a clarifying question about the focus of the Perspective but did not receive a response, leaving the task incomplete. The tool use was partially correct as it attempted to gather more information, but it did not lead to task completion.",Pending promotion into prod-conversation.goldens.jsonl
ce-e9bb02e9-let-s-create-a-cost-category,e9bb02e9-c0af-4bd7-8084-d2263c44b115,Let's create a Cost Category,ce,prod2,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,3,185-prod2-ce-e9bb02e9.conversation.json,185-prod2-ce-e9bb02e9.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Cost Category. The agent initiated a tool call to launch a skill related to cost categories and then attempted to ask the user a question to gather more information. However, the conversation ends without a response to the question, leaving the task incomplete. The agent's actions were appropriate, but the lack of a final response makes it unclear if the task was completed successfully. The conversation is portable as it does not contain any production-specific identifiers.",Pending promotion into prod-conversation.goldens.jsonl
ce-28e419a7-let-s-create-a-cost-category,28e419a7-1447-4898-ac26-472b168665bd,Let's create a Cost Category,ce,prod2,module-coverage-200,bad,ready,candidate,write,pending_review,2026-07-27,,0.9,0.1,0.0,0.0,0.5,3,25-prod2-ce-28e419a7.conversation.json,25-prod2-ce-28e419a7.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Cost Category. The agent initiated a tool call to launch a skill related to cost categories, which is appropriate. However, the conversation ended abruptly after asking a question about grouping preferences without receiving a response or completing the task. This indicates a failure to achieve the user's goal. The tool use was partially correct as it initiated the right skill but did not complete the task. The conversation is portable as it does not contain any specific production identifiers.",Pending promotion into prod-conversation.goldens.jsonl
ce-2b467dd3-let-s-create-a-cost-category,2b467dd3-2102-41d4-89d3-dd610e1b3d04,Let's create a Cost Category,ce,prod1,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,4,26-prod1-ce-2b467dd3.conversation.json,26-prod1-ce-2b467dd3.md,TBD — write expected_outcome when promoting this candidate,"The conversation is useful as it involves a meaningful task of creating a Cost Category. The agent initiates the process by launching the appropriate skill and begins collecting necessary information from the user. However, the conversation ends abruptly without user input or further progress, making it unclear whether the task was completed successfully. The tool use is appropriate, but the lack of user response leaves the outcome uncertain. The conversation is portable as it does not rely on specific production identifiers, making it ready for golden readiness.",Pending promotion into prod-conversation.goldens.jsonl
ce-34f7a163-let-s-create-a-perspective,34f7a163-14cd-4f15-9012-e0c7c6a4c07d,Let's create a Perspective,ce,prod2,module-coverage-200,bad,ready,candidate,write,pending_review,2026-07-27,,0.8,0.1,0.0,0.0,0.5,4,35-prod2-ce-34f7a163.conversation.json,35-prod2-ce-34f7a163.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Perspective. The agent initiated the process by launching the relevant skill and providing detailed instructions on how to create a Perspective. However, the agent failed to complete the task as it did not proceed beyond asking the user a question about cloud providers. The conversation ended without creating the Perspective or gathering enough information to do so. The tool use was partially correct as it launched the skill and asked a relevant question, but it did not follow through to achieve the user's goal.",Pending promotion into prod-conversation.goldens.jsonl
ce-3785b1ee-let-s-create-a-perspective,3785b1ee-f476-4ac3-bc48-4c18e96914ee,Let's create a Perspective,ce,prod2,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,4,39-prod2-ce-3785b1ee.conversation.json,39-prod2-ce-3785b1ee.md,TBD — write expected_outcome when promoting this candidate,"The user requested to create a Perspective, and the agent initiated the process by loading the appropriate skill and asking the user to name the perspective. However, the conversation ends without the user's response to the question, leaving the task incomplete. The agent's actions were appropriate up to the point of asking for the perspective name, but without the user's input, it's unclear if the task could be completed successfully.",Pending promotion into prod-conversation.goldens.jsonl
ce-3d0ec64b-let-s-create-a-cost-category,3d0ec64b-cbc9-4a32-b508-939b047706e1,Let's create a Cost Category,ce,prod1,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,4,45-prod1-ce-3d0ec64b.conversation.json,45-prod1-ce-3d0ec64b.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Cost Category. The agent initiated the process by loading the appropriate skill and asking the user to name the Cost Category. However, the conversation ends without the user's response or further progress, leaving the task incomplete. The agent's actions were appropriate up to the point of asking for user input, but without the user's response, it's unclear if the task could be completed successfully. The conversation is portable as it involves a generic task of creating a Cost Category without specific production dependencies.",Pending promotion into prod-conversation.goldens.jsonl
ce-4ed78d67-let-s-create-a-perspective,4ed78d67-0ca2-46cf-9262-27161f1dc2ca,Let's create a Perspective,ce,prod2,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,3,60-prod2-ce-4ed78d67.conversation.json,60-prod2-ce-4ed78d67.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Perspective. The agent initiated the process by calling the `ccm_perspectives` skill and then asked the user to choose a name for the new Perspective. However, the conversation ends without the user's response or further action from the agent, leaving the task incomplete. The agent's actions were appropriate up to the point of asking for user input, but without the user's response, it's unclear if the task could be completed successfully. The conversation is portable as it involves a generic task of creating a Perspective, which can be adapted to different environments.",Pending promotion into prod-conversation.goldens.jsonl
ce-4f441e59-let-s-create-a-perspective,4f441e59-2199-43ed-a27f-d738d91c6aae,Let's create a Perspective,ce,prod1,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,4,61-prod1-ce-4f441e59.conversation.json,61-prod1-ce-4f441e59.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Perspective. The agent initiated the process by launching the relevant skill and asking the user a question about cloud providers. However, the conversation ends without a user response or further progress, leaving the task incomplete. The agent's actions were appropriate, but the lack of user input prevents a clear assessment of task completion.",Pending promotion into prod-conversation.goldens.jsonl
ce-62afece6-let-s-create-a-cost-category,62afece6-9685-4ab5-8f2b-456cee93f23c,Let's create a Cost Category,ce,prod1,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,3,75-prod1-ce-62afece6.conversation.json,75-prod1-ce-62afece6.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Cost Category. The agent initiated a tool to handle cost categories and then asked the user a question to gather more information. However, the conversation ends without a clear resolution or confirmation that the Cost Category was created. The agent's actions suggest it was on the right track, but the lack of completion makes it unclear if the task was fulfilled.",Pending promotion into prod-conversation.goldens.jsonl
ce-685082f1-let-s-create-a-cost-category,685082f1-462d-4b47-85ae-1e33e42266c5,Let's create a Cost Category,ce,prod2,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,4,80-prod2-ce-685082f1.conversation.json,80-prod2-ce-685082f1.md,TBD — write expected_outcome when promoting this candidate,"The conversation is useful as it involves a meaningful task of creating a Cost Category. The agent initiates the process by loading the relevant skill and asking the user for a name for the Cost Category. However, the conversation ends abruptly without a user response or further progress, making it unclear if the task was completed. The tool use is appropriate but incomplete, as the process is not fully executed. The conversation is portable as it does not contain any production-specific identifiers.",Pending promotion into prod-conversation.goldens.jsonl
har-74ca85f6-to-use-bearer-auth-for-an-upstream-npm-p,74ca85f6-7971-49a9-aea0-c6f4ce8a0028,"to use bearer auth for an upstream npm proxy because npm does not support basic auth, do i just select no authentication adn then i nemtadat put the key as token or npm_tokena nd the valeu there or is that not goign to work? its a private registry in npm that it needs to access",har,prod1,module-coverage-200,good,ready,candidate,unknown,pending_review,2026-07-27,,0.9,0.96,1.0,1.0,0.8,9,89-prod1-har-74ca85f6.conversation.json,89-prod1-har-74ca85f6.md,TBD — write expected_outcome when promoting this candidate,"The user asked about configuring bearer authentication for an npm proxy. The agent correctly identified that the user's initial approach wouldn't work and provided a detailed alternative method using ""User Name And Password"" authentication, which is a standard approach. The agent also offered an alternative method if the registry only accepts raw bearer tokens. The agent's responses were clear and addressed the user's follow-up question about naming conventions. The tool use was mostly effective, although there was an input validation error during one of the tool calls, which did not impact the final outcome.",Pending promotion into prod-conversation.goldens.jsonl
ce-7656a45d-let-s-create-a-perspective,7656a45d-5138-41e2-926c-23d336e5a2df,Let's create a Perspective,ce,prod1,module-coverage-200,bad,ready,candidate,write,pending_review,2026-07-27,,0.9,0.1,0.0,0.0,0.5,3,91-prod1-ce-7656a45d.conversation.json,91-prod1-ce-7656a45d.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Perspective, but the conversation ended without achieving this goal. The agent initiated a tool call to gather more information from the user about what the Perspective should show, but there was no response or follow-up action. This indicates a failure to complete the task. The tool use was partially correct as it attempted to gather necessary information, but it did not lead to a resolution. The conversation is portable as it does not rely on specific production identifiers.",Pending promotion into prod-conversation.goldens.jsonl
ce-7a808a70-let-s-create-a-cost-category,7a808a70-9163-4516-bf87-38d2d4ee79ba,Let's create a Cost Category,ce,prod1,module-coverage-200,unclear,ready,candidate,write,pending_review,2026-07-27,,0.5,0.5,0.5,0.5,0.5,4,95-prod1-ce-7a808a70.conversation.json,95-prod1-ce-7a808a70.md,TBD — write expected_outcome when promoting this candidate,"The user's goal was to create a Cost Category. The agent initiated the process by launching the relevant skill and began gathering requirements using the AskUserQuestion tool. However, the conversation ends without a visible response from the tool, leaving it unclear whether the agent successfully collected the necessary information to create the Cost Category. The agent's initial steps were correct, but the lack of a final outcome or confirmation of success makes it difficult to fully assess the quality of the interaction.",Pending promotion into prod-conversation.goldens.jsonl
none-1223e712-document-workitemsform-action-contextpat,1223e712-f1f4-4a0c-bf2e-666856760a43,"document.workitemsform.action = contextPath + ""/test.html"";
document.workitemsform.actiontype.value = ""EXIT"";
document.workitemsform.submit(); 这段代码怎么改成用navigator.sendBeacon的方式提交",none,prod3,random-200,good,ready,candidate,unknown,pending_review,2026-07-27,,1.0,1.0,1.0,1.0,1.0,4,12-prod3-none-1223e712.conversation.json,12-prod3-none-1223e712.md,TBD — write expected_outcome when promoting this candidate,"The user asked how to modify a form submission to use `navigator.sendBeacon`. The assistant provided a clear and correct code example for this conversion, explained the limitations and use cases of `sendBeacon`, and addressed the user's follow-up question about form data submission. The assistant's responses were accurate and complete, satisfying the user's requests.",Pending promotion into prod-conversation.goldens.jsonl
